epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,20191,0.8651,0.47469,0.89542,0.93508,0.94624,0.98155,0.7791,0.6838,0.34103,0.71644,0.0011883,0.0011883,0.0011883
124,20289.5,0.91047,0.49907,0.92988,0.9375,0.94624,0.98174,0.77996,0.68285,0.34123,0.716,0.00117345,0.00117345,0.00117345
125,20387.3,0.86389,0.45846,0.90792,0.9359,0.94624,0.98176,0.77949,0.68307,0.34108,0.71586,0.0011586,0.0011586,0.0011586
126,20485.8,0.8786,0.48158,0.91109,0.93713,0.94624,0.98184,0.78055,0.68246,0.34079,0.71564,0.00114375,0.00114375,0.00114375
127,20584,0.89131,0.48303,0.91111,0.93784,0.94635,0.98187,0.77984,0.68161,0.34047,0.7153,0.0011289,0.0011289,0.0011289
128,20682.9,0.85215,0.47375,0.8978,0.94112,0.94624,0.98196,0.77964,0.68051,0.33999,0.71494,0.00111405,0.00111405,0.00111405
129,20781.6,0.84051,0.484,0.88394,0.94192,0.94444,0.98195,0.78082,0.67988,0.34036,0.71488,0.0010992,0.0010992,0.0010992
130,20879.9,0.8667,0.46005,0.89385,0.94278,0.94489,0.98201,0.78076,0.67943,0.34089,0.71496,0.00108435,0.00108435,0.00108435
131,20977.9,0.83692,0.453,0.89619,0.94239,0.94444,0.98208,0.78096,0.67861,0.33947,0.71475,0.0010695,0.0010695,0.0010695
132,21076.1,0.83022,0.44228,0.87984,0.94109,0.94475,0.98215,0.78019,0.67717,0.33969,0.71444,0.00105465,0.00105465,0.00105465
133,21173.9,0.86329,0.47429,0.90962,0.9403,0.94624,0.98232,0.78179,0.67675,0.33856,0.71417,0.0010398,0.0010398,0.0010398
134,21272,0.84833,0.45671,0.8846,0.94116,0.94624,0.98241,0.78225,0.67641,0.33869,0.71399,0.00102495,0.00102495,0.00102495
135,21369.8,0.83493,0.44016,0.9004,0.94199,0.94624,0.9825,0.78167,0.67576,0.33758,0.71403,0.0010101,0.0010101,0.0010101
136,21468.4,0.88054,0.46361,0.9039,0.93951,0.94632,0.98249,0.78139,0.67515,0.33793,0.71381,0.00099525,0.00099525,0.00099525
137,21567.2,0.85467,0.45142,0.89473,0.93659,0.94803,0.98258,0.78205,0.67326,0.33735,0.71367,0.0009804,0.0009804,0.0009804
138,21666.3,0.83053,0.44787,0.89714,0.93631,0.94848,0.98261,0.78162,0.6732,0.3374,0.71353,0.00096555,0.00096555,0.00096555
139,21765.1,0.86517,0.46416,0.90373,0.93054,0.96036,0.98259,0.78264,0.67313,0.33797,0.71329,0.0009507,0.0009507,0.0009507
140,21863.2,0.85297,0.44987,0.89422,0.93636,0.94933,0.98265,0.78332,0.67231,0.33732,0.71296,0.00093585,0.00093585,0.00093585
141,21962,0.84435,0.45013,0.88344,0.92465,0.96237,0.98327,0.78337,0.6725,0.33678,0.71256,0.000921,0.000921,0.000921
142,22060.6,0.84493,0.45602,0.8906,0.92112,0.96265,0.98304,0.78344,0.67215,0.33684,0.71233,0.00090615,0.00090615,0.00090615
143,22158.8,0.80789,0.43924,0.88192,0.92585,0.96221,0.98312,0.78448,0.67161,0.33605,0.71199,0.0008913,0.0008913,0.0008913
144,22256.9,0.85277,0.45669,0.88826,0.92644,0.96237,0.98325,0.78509,0.67079,0.33583,0.71177,0.00087645,0.00087645,0.00087645
145,22354.9,0.86113,0.4592,0.90403,0.92427,0.96237,0.9834,0.78477,0.67052,0.33557,0.71152,0.0008616,0.0008616,0.0008616
146,22453.2,0.81957,0.43331,0.88101,0.92277,0.96362,0.98322,0.78617,0.66984,0.33545,0.71139,0.00084675,0.00084675,0.00084675
147,22551.6,0.82418,0.43799,0.9013,0.92436,0.96366,0.98215,0.78535,0.66922,0.33473,0.71121,0.0008319,0.0008319,0.0008319
148,22650.2,0.81906,0.45362,0.88648,0.92436,0.96365,0.9822,0.7857,0.66884,0.33345,0.71105,0.00081705,0.00081705,0.00081705
149,22748.8,0.8319,0.44622,0.88619,0.93801,0.94982,0.98226,0.78542,0.66734,0.33361,0.71093,0.0008022,0.0008022,0.0008022
150,22847.9,0.83538,0.44134,0.89677,0.939,0.94982,0.98238,0.78545,0.66691,0.33322,0.71099,0.00078735,0.00078735,0.00078735
151,22946.8,0.82429,0.44404,0.87716,0.9372,0.94982,0.98213,0.78524,0.66578,0.33267,0.7108,0.0007725,0.0007725,0.0007725
152,23045.9,0.80008,0.4247,0.87892,0.9381,0.94982,0.98224,0.78618,0.66484,0.3331,0.71061,0.00075765,0.00075765,0.00075765
153,23144.5,0.80953,0.42508,0.88464,0.94286,0.94627,0.98214,0.78644,0.66422,0.33213,0.71035,0.0007428,0.0007428,0.0007428
154,23242.7,0.83401,0.42566,0.89093,0.94268,0.94312,0.98204,0.7877,0.66373,0.33192,0.71012,0.00072795,0.00072795,0.00072795
155,23340.9,0.79427,0.41888,0.86944,0.94278,0.94491,0.98208,0.7864,0.66273,0.33117,0.70994,0.0007131,0.0007131,0.0007131
156,23439.7,0.78994,0.42242,0.88307,0.94276,0.94445,0.98214,0.78758,0.66297,0.33048,0.70982,0.00069825,0.00069825,0.00069825
157,23538.7,0.79619,0.4238,0.87675,0.94278,0.94488,0.98219,0.78882,0.66164,0.32995,0.70975,0.0006834,0.0006834,0.0006834
158,23637.6,0.80126,0.42709,0.88095,0.94118,0.94635,0.98238,0.78956,0.66022,0.32894,0.70939,0.00066855,0.00066855,0.00066855
159,23736.7,0.81854,0.44549,0.8864,0.94118,0.94633,0.98323,0.78912,0.65992,0.32963,0.70926,0.0006537,0.0006537,0.0006537
160,23835.8,0.79549,0.4194,0.88633,0.94308,0.94624,0.98359,0.79008,0.6604,0.32904,0.70908,0.00063885,0.00063885,0.00063885
161,23934.9,0.79859,0.42372,0.87448,0.9419,0.94624,0.98366,0.79105,0.66077,0.32836,0.70908,0.000624,0.000624,0.000624
162,24033.7,0.78659,0.42013,0.88541,0.94289,0.94803,0.98361,0.79175,0.6603,0.32782,0.70902,0.00060915,0.00060915,0.00060915
163,24132.3,0.79959,0.42319,0.8757,0.94544,0.94803,0.98371,0.79207,0.66057,0.32738,0.709,0.0005943,0.0005943,0.0005943
164,24230.5,0.77642,0.39825,0.87552,0.94632,0.94772,0.98362,0.79095,0.65905,0.32737,0.70864,0.00057945,0.00057945,0.00057945
165,24328.6,0.7973,0.41573,0.87977,0.94462,0.94803,0.98363,0.79168,0.65863,0.32719,0.70859,0.0005646,0.0005646,0.0005646
166,24426.4,0.76337,0.3994,0.86393,0.94336,0.94803,0.98353,0.79284,0.65706,0.32605,0.70845,0.00054975,0.00054975,0.00054975
167,24524.5,0.80346,0.41102,0.88421,0.94533,0.94803,0.98352,0.79318,0.65655,0.32597,0.70819,0.0005349,0.0005349,0.0005349
